artist_no,name,Korean_Name,Gender,Debut,Company,korean_name,imagePath,,,,,,,
1,PLAVE,플레이브,V,2023-03-12,VLAST,플레이브,images/plave.png,,,,,,,
2,BTS,비티에스,M,2013-06-13,Big Hit,비티에스,images/bts_image.jpg,,,,,,,
3,ISEGYE IDOL,이세계아이돌,V,2021-12-17,Parable,이세계아이돌,images/이세돌.jpg,,,,,,,
4,illit,아일릿,F,2024-03-25,Hybe,아일릿,images/illit.jpeg,,,,,,,
5,EXO,엑소,M,2008-04-12,SM,엑소,images/exo_image.jpg,,,,,,,
6,NewJeans,뉴진스,F,2022-07-22,ADOR,뉴진스,images/newjeans_image.jpg,,,,,,,
7,XIUMIN,슈민,M,2012-04-08,SM,슈민,images/xiumin.jpeg,,,,,,,
8,RIIZE,라이즈,F,2023-09-04,SM,라이즈,images/riize.png,,,,,,,
9,TWS,티더블유에스,M,2024-01-22,Hybe,티더블유에스,images/tws.jpeg,,,,,,,
10,STAYC,스테이시,F,2012-11-20,Hi-Up,스테이시,images/stayc.jpeg,,,,,,,
11,vvup,버프,M,2024-04-01,egoENT,버프,images/vvup.jpeg,,,,,,,
12,GG,소녀시대,F,2007-08-05,SM,소녀시대,images/GG.png,,,,,,,
13,onf,오엔에프,M,2002-08-17,WM,오엔에프,images/onf.jpeg,,,,,,,
14,chen,첸,M,2012-04-08,SM,첸,images/chen.png,,,,,,,
15,lightsum,라잇섬,F,2021-06-10,cube,라잇섬,images/lightsum.png,,,,,,,
16,qwer,큐덥이알,F,2023-10-18,Tamago,큐덥이알,images/qwer.png,,,,,,,
17,AHS,안효섭,M,2015-01-01,Present,안효섭,images/AHS.png,,,,,,,
18,bibi,비비,F,2019-05-15,FGMusic,비비,images/bibi.png,,,,,,,
19,NCT WISH,엔시티,M,2016-04-09,SM,엔시티,images/nctWish.jpeg,,,,,,,
20,zico,지코,M,2011-04-15,KOZ,지코,images/zico.png,,,,,,,
21,tommorrow x together,투모로우바이투게더,M,2019-03-04,HYbe,투모로우바이투게더,images/tomorrow.jpeg,,,,,,,
22,redvelvet,레드벨벳,F,2012-11-20,Hi-Up,레드벨벳,images/redvelvet.jpeg,,,,,,,
23,BAEKHO(KANG DONG HO),백호,M,2012-03-15,none,백호,images/baekho.jpeg,,,,,,,
24,Irise,아이리제,V,2025-02-14,Super-i,아이리스,images/irise.png,,,,,,,
25,APINK,에이핑크,F,2011-04-19,IST,에이핑크,images/apink.jpeg,,,,,,,
26,SEVENTEEN,세븐틴,M,2015-05-26,Pledis,세븐틴,images/seventeen.jpeg,,,,,,,
27,HWANG MIN HYUN,황민현,M,2012-03-15,Hybe,황민현,images/HMH.png,,,,,,,
28,N.SSign,엔사인,M,2023-08-09,Nch,엔사인,images/nssign.png,,,,,,,
29,SUNMI,선미,F,2013-08-26,AByss,선미,images/sunmi.jpeg,,,,,,,
30,OH MY GIRL,오마이걸,F,2015-04-21,WM,오마이걸,images/ohmygirl.jpeg,,,,,,,
31,Golden Child,골든차일드,M,2017-08-28,woolim,골든차일드,images/goldenchild.jpeg,,,,,,,
32,JENNIE,제니,F,2018-11-12,QA,제니,images/jennie.png,,,,,,,
33,FIFTY FIFTY,피프티피프티,F,2022-11-18,ATTRAKT,피프티피프티,images/5050.jpeg,,,,,,,
34,CHUU,츄,F,2017-12-28,ATRP,츄,images/chuu.jpeg,,,,,,,
35,aespa,에스파,F,2020-11-17,SM,에스파,images/aespa.jpeg,,,,,,,
36,THE BOYZ,더보이즈,M,2017-12-06,YG,더보이즈,images/theboyz.png,,,,,,,
37,10CM,십센치,M,2010-04-22,CAM,십센치,images/10cm.png,,,,,,,
38,AKMU,악뮤,M,2014-04-07,YG,악뮤,images/akmu.jpeg,,,,,,,
39,BIGBANG,빅뱅,M,2006-08-19,YG,빅뱅,images/bigbang.png,,,,,,,
40,VIXX,빅스,M,2012-05-24,Jellyfish,빅스,images/vixx.png,,,,,,,
41,KIM JUN SU,김준수,M,2012-05-15,Palmtree,김준수,images/junsu.jpeg,,,,,,,
42,BABYMONSTER,베이비몬스터,F,2024-04-01,YG,베이비몬스터,images/babymonster.png,,,,,,,
43,KINO,키노,M,2016-01-01,Naked,키노,images/kino.jpeg,,,,,,,
44,Dua Lipa,듀아리파,M,2015-01-01,none,듀아리파,images/dua.png,,,,,,,
45,BOYNEXTDOOR,보이넥스트도어,M,2023-05-30,Hybe,보이넥스트도어,images/bnd.jpeg,,,,,,,
46,LE SSERAFIM,르세라핌,F,2002-05-22,Source,르세라핌,images/lesserafim.png,,,,,,,
47,KIM MYUNGSOO(L),김명수,M,2021-02-03,Lookmedia,김명수,images/l.jpeg,,,,,,,
48,LUN8,루네이트,M,2023-06-15,fantazio,루네이트,images/lun8.jpeg,,,,,,,
49,TEAM,앤팀,M,2022-12-07,YX Labels,앤팀,images/team.jpeg,,,,,,,
50,ENHYPEN,엔하이픈,M,2020-11-30,Hybe,엔하이픈,images/enhypen.jpg,,,,,,,
